numStations=3
Station 0:Brockport University
Station 1:Mees Bristol
Station 2:Webster HS
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-19T00:56:06.211     436.99078210     436.99078204    436.99078215   436.99075076     436.99075071    436.99075082   436.99079271     436.99079263    436.99079279
Access Number: 4            Sta # 0 Nom         Lower           Upper       Sta # 1 Nom         Lower           Upper       Sta # 2 Nom         Lower           Upper       
2020-02-19T02:21:56.732     437.00503331     437.00502690    437.00503970   437.00529721     437.00529108    437.00530332   437.00510255     437.00509631    437.00510878
2020-02-19T02:22:56.732     437.00357554     437.00356737    437.00358371   437.00389225     437.00388431    437.00390018   437.00368147     437.00367350    437.00368944
2020-02-19T02:23:56.732     437.00178882     437.00177923    437.00179841   437.00213835     437.00212883    437.00214785   437.00193332     437.00192391    437.00194273
2020-02-19T02:24:56.732     436.99980379     436.99979373    436.99981386   437.00014748     437.00013728    437.00015769   436.99997674     436.99996677    436.99998671
2020-02-19T02:25:56.732     436.99784371     436.99783437    436.99785307   436.99814048     436.99813082    436.99815014   436.99802461     436.99801525    436.99803398
2020-02-19T02:26:56.732     436.99611950     436.99611170    436.99612730   436.99634680     436.99633864    436.99635497   436.99628787     436.99627997    436.99629578
2020-02-19T02:27:56.732     436.99473707     436.99473105    436.99474310   436.99489546     436.99488912    436.99490181   436.99488121     436.99487506    436.99488738
2020-02-19T02:28:56.732     436.99369577     436.99369134    436.99370021   436.99379844     436.99379377    436.99380312   436.99381311     436.99380854    436.99381768
2020-02-19T02:29:56.732     436.99294009     436.99293691    436.99294326   436.99300229     436.99299895    436.99300564   436.99303320     436.99302992    436.99303650
2020-02-19T02:30:56.732     436.99240390     436.99240166    436.99240613   436.99243811     436.99243576    436.99244046   436.99247706     436.99247474    436.99247938
2020-02-19T02:31:56.732     436.99203049     436.99202896    436.99203203   436.99204559     436.99204398    436.99204721   436.99208785     436.99208625    436.99208946
2020-02-19T02:32:56.732     436.99177697     436.99177595    436.99177800   436.99177892     436.99177784    436.99178000   436.99182197     436.99182089    436.99182304
